"","Location","utc","PM25"
"1","Greenville",2020-01-10,3.63157894736842
"2","Greenville",2020-01-11,5.08695652173913
"3","Greenville",2020-01-12,4.41666666666667
"4","Greenville",2020-01-13,4.95652173913043
"5","Greenville",2020-01-14,3.875
"6","Greenville",2020-01-15,3.625
"7","Greenville",2020-01-16,4.54166666666667
"8","Greenville",2020-01-17,2.82608695652174
"9","Greenville",2020-01-18,2.41666666666667
"10","Greenville",2020-01-19,2.91304347826087
"11","Greenville",2020-01-21,3.90909090909091
"12","Greenville",2020-01-22,4.25
"13","Greenville",2020-01-23,5.5
"14","Greenville",2020-01-24,4.70833333333333
"15","Greenville",2020-01-25,1.75
"16","Greenville",2020-01-26,2.57142857142857
"17","Greenville",2020-01-27,4.66666666666667
"18","Greenville",2020-01-28,3.79166666666667
"19","Greenville",2020-01-29,3.79166666666667
"20","Greenville",2020-01-30,4.625
"21","Greenville",2020-01-31,3.9047619047619
"22","Greenville",2020-02-01,3.70833333333333
"23","Greenville",2020-02-02,3.04166666666667
"24","Greenville",2020-02-03,2.375
"25","Greenville",2020-02-04,8.375
"26","Greenville",2020-02-05,8.79166666666667
"27","Greenville",2020-02-06,7.41666666666667
"28","Greenville",2020-02-07,0.5
"29","Greenville",2020-02-08,1.26086956521739
"30","Greenville",2020-02-09,4.16666666666667
"31","Greenville",2020-02-10,4.70833333333333
"32","Greenville",2020-02-11,4.45833333333333
"33","Greenville",2020-02-12,1.91304347826087
"34","Greenville",2020-02-13,6.5
"35","Greenville",2020-02-14,1.14285714285714
"36","Greenville",2020-02-15,3
"37","Greenville",2020-02-16,4.91666666666667
"38","Greenville",2020-02-17,7.58333333333333
"39","Greenville",2020-02-18,8.08333333333333
"40","Greenville",2020-02-19,4.79166666666667
"41","Greenville",2020-02-20,2.875
"42","Greenville",2020-02-21,5.04166666666667
"43","Greenville",2020-02-22,4.95833333333333
"44","Greenville",2020-02-23,10.2916666666667
"45","Greenville",2020-02-24,6.70833333333333
"46","Greenville",2020-02-25,5.20833333333333
"47","Greenville",2020-02-26,5.65217391304348
"48","Greenville",2020-02-27,0.818181818181818
"49","Greenville",2020-02-28,2.25
"50","Greenville",2020-02-29,2.79166666666667
"51","Greenville",2020-03-01,4.47826086956522
"52","Greenville",2020-03-02,5.66666666666667
"53","Greenville",2020-03-03,7.21739130434783
"54","Greenville",2020-03-04,2
"55","Greenville",2020-03-05,4.66666666666667
"56","Greenville",2020-03-06,3.36842105263158
"57","Greenville",2020-03-07,1.125
"58","Greenville",2020-03-08,6.45833333333333
"59","Greenville",2020-03-09,4.70833333333333
"60","Greenville",2020-03-10,6.45833333333333
"61","Greenville",2020-03-11,5.75
"62","Greenville",2020-03-12,8.41666666666667
"63","Greenville",2020-03-13,10.25
"64","Greenville",2020-03-14,6
"65","Greenville",2020-03-15,3.875
"66","Greenville",2020-03-16,3.83333333333333
"67","Greenville",2020-03-17,4.45833333333333
"68","Greenville",2020-03-18,9.54166666666667
"69","Greenville",2020-03-19,9.08333333333333
"70","Greenville",2020-03-20,7.75
"71","Greenville",2020-03-21,5.04347826086957
"72","Greenville",2020-03-22,4
"73","Greenville",2020-03-23,3.64285714285714
"74","Greenville",2020-03-24,5.54166666666667
"75","Greenville",2020-03-25,1.91666666666667
"76","Greenville",2020-03-26,0.869565217391304
"77","Greenville",2020-03-27,5.79166666666667
"78","Greenville",2020-03-28,12.5833333333333
"79","Greenville",2020-03-29,16.375
"80","Greenville",2020-03-30,8.70833333333333
"81","Greenville",2020-03-31,3.16666666666667
"82","Greenville",2020-04-01,2.43478260869565
"83","Greenville",2020-04-02,3.73913043478261
"84","Greenville",2020-04-03,1.91304347826087
"85","Greenville",2020-04-04,3.95652173913043
"86","Greenville",2020-04-05,2.625
"87","Greenville",2020-04-06,6.69565217391304
"88","Greenville",2020-04-07,9.125
"89","Greenville",2020-04-08,11.7083333333333
"90","Greenville",2020-04-09,7.09090909090909
"91","Greenville",2020-04-10,2.875
"92","Greenville",2020-04-11,4.56521739130435
"93","Greenville",2020-04-12,5.56521739130435
"94","Greenville",2020-04-13,7.27272727272727
"95","Greenville",2020-04-14,4.125
"96","Greenville",2020-04-15,4.25
"97","Greenville",2020-04-17,8.2
"98","Greenville",2020-04-18,3.58333333333333
"99","Greenville",2020-04-19,4.375
"100","Greenville",2020-04-20,4.38095238095238
"101","Greenville",2020-04-21,5.78260869565217
"102","Greenville",2020-04-22,3.22727272727273
"103","Greenville",2020-04-23,4.91304347826087
"104","Greenville",2020-04-24,5.27272727272727
"105","Greenville",2020-04-25,3.83333333333333
"106","Greenville",2020-04-26,5
"107","Greenville",2020-04-27,1.52631578947368
"108","Greenville",2020-04-28,4
"109","Greenville",2020-04-29,4.21428571428571
"110","Greenville",2020-04-30,4.59090909090909
"111","Greenville",2020-05-01,2.58333333333333
"112","Greenville",2020-05-02,2.29166666666667
"113","Greenville",2020-05-03,7.57142857142857
"114","Greenville",2020-05-04,6.52941176470588
"115","Greenville",2020-05-05,3.86363636363636
"116","Greenville",2020-05-06,3.66666666666667
"117","Greenville",2020-05-07,2.18181818181818
"118","Greenville",2020-05-08,5.29166666666667
"119","Greenville",2020-05-09,3.33333333333333
"120","Greenville",2020-05-10,4.39130434782609
"121","Greenville",2020-05-11,2.05
"122","Greenville",2020-05-12,-1.33333333333333
"123","Greenville",2020-05-13,1.66666666666667
"124","Greenville",2020-05-14,0.333333333333333
"125","Greenville",2020-05-15,4.94117647058824
"126","Greenville",2020-05-16,6.04166666666667
"127","Greenville",2020-05-17,5.73913043478261
"128","Greenville",2020-05-18,2.95833333333333
"129","Greenville",2020-05-19,3.31818181818182
"130","Greenville",2020-05-20,2.30434782608696
"131","Greenville",2020-05-21,3.04166666666667
"132","Greenville",2020-05-22,4.375
"133","Greenville",2020-05-23,5.66666666666667
"134","Greenville",2020-05-24,8.70833333333333
"135","Greenville",2020-05-25,3.41666666666667
"136","Greenville",2020-05-26,3.27272727272727
"137","Greenville",2020-05-27,5.5
"138","Greenville",2020-05-28,4.45454545454545
"139","Greenville",2020-05-29,4.625
"140","Greenville",2020-05-30,2
"141","Greenville",2020-05-31,4.58823529411765
"142","Greenville",2020-06-01,4.375
"143","Greenville",2020-06-02,6.16666666666667
"144","Greenville",2020-06-03,9.52380952380952
"145","Greenville",2020-06-04,13.5
"146","Greenville",2020-06-05,8.60869565217391
"147","Greenville",2020-06-06,9.21428571428571
"148","Greenville",2020-06-07,10.7142857142857
"149","Greenville",2020-06-08,8.52173913043478
"150","Greenville",2020-06-09,7.91666666666667
"151","Greenville",2020-06-10,6.41666666666667
"152","Greenville",2020-06-11,5.85714285714286
"153","Greenville",2020-06-12,5.52380952380952
"154","Greenville",2020-06-13,7.31818181818182
"155","Greenville",2020-06-14,4.95454545454545
"156","Greenville",2020-06-15,3.27777777777778
"157","Greenville",2020-06-16,2.07142857142857
"158","Greenville",2020-06-17,2
"159","Greenville",2020-06-18,4.54166666666667
"160","Greenville",2020-06-19,5.4
"161","Greenville",2020-06-20,4
"162","Greenville",2020-06-21,5.65217391304348
"163","Greenville",2020-06-22,11.7333333333333
"164","Greenville",2020-06-23,12.8636363636364
"165","Greenville",2020-06-24,5.13636363636364
"166","Greenville",2020-06-25,12.4375
"167","Greenville",2020-06-26,8.82608695652174
"168","Greenville",2020-06-27,11.9166666666667
"169","Greenville",2020-06-28,33.2083333333333
"170","Greenville",2020-06-29,12.8095238095238
"171","Greenville",2020-06-30,12.75
"172","Greenville",2020-07-01,7.41666666666667
"173","Greenville",2020-07-02,6.27272727272727
"174","Greenville",2020-07-03,13.1666666666667
"175","Greenville",2020-07-04,13.3809523809524
"176","Greenville",2020-07-05,14.4583333333333
"177","Greenville",2020-07-06,12.35
"178","Greenville",2020-07-07,12
"179","Greenville",2020-07-09,3
"180","Greenville",2020-07-10,4.58333333333333
"181","Greenville",2020-07-11,5.88235294117647
"182","Greenville",2020-07-12,9.66666666666667
"183","Greenville",2020-07-13,7.52173913043478
"184","Greenville",2020-07-14,9.14285714285714
"185","Greenville",2020-07-15,9.58333333333333
"186","Greenville",2020-07-16,7.38095238095238
"187","Greenville",2020-07-17,9.23809523809524
"188","Greenville",2020-07-18,9.73913043478261
"189","Greenville",2020-07-19,11.5909090909091
"190","Greenville",2020-07-20,13.8888888888889
"191","Greenville",2020-07-21,8.625
"192","Greenville",2020-07-22,4.84210526315789
"193","Greenville",2020-07-23,8.58333333333333
"194","Greenville",2020-07-24,5.58333333333333
"195","Greenville",2020-07-25,5.91304347826087
"196","Greenville",2020-07-26,7.16666666666667
"197","Greenville",2020-07-27,5.91666666666667
"198","Greenville",2020-07-28,7.91304347826087
"199","Greenville",2020-07-29,6.81818181818182
"200","Greenville",2020-07-30,6.77777777777778
"201","Greenville",2020-07-31,8.25
"202","Greenville",2020-08-04,11.5
"203","Greenville",2020-08-05,9.33333333333333
"204","Greenville",2020-08-06,8.80952380952381
"205","Greenville",2020-08-07,7.66666666666667
"206","Greenville",2020-08-08,4.73913043478261
"207","Greenville",2020-08-09,5.64285714285714
"208","Greenville",2020-08-10,8.94736842105263
"209","Greenville",2020-08-11,11.1
"210","Greenville",2020-08-12,6.27272727272727
"211","Greenville",2020-08-13,5.28571428571429
"212","Greenville",2020-08-14,4.04761904761905
"213","Greenville",2020-08-15,4.16666666666667
"214","Greenville",2020-08-16,3.68421052631579
"215","Greenville",2020-08-17,4.45833333333333
"216","Greenville",2020-08-18,6.81818181818182
"217","Greenville",2020-08-19,8.58333333333333
"218","Greenville",2020-08-20,8.09090909090909
"219","Greenville",2020-08-21,4.5
"220","Greenville",2020-08-22,4.56521739130435
"221","Greenville",2020-08-23,8.41176470588235
"222","Greenville",2020-08-24,7.61904761904762
"223","Greenville",2020-08-25,5.94736842105263
"224","Greenville",2020-08-26,7.79166666666667
"225","Greenville",2020-08-27,11.5217391304348
"226","Greenville",2020-08-28,13.4545454545455
"227","Greenville",2020-08-29,7.60869565217391
"228","Greenville",2020-08-30,7.38888888888889
"229","Greenville",2020-08-31,5.3
"230","Greenville",2020-09-01,6.15789473684211
"231","Greenville",2020-09-02,7.66666666666667
"232","Greenville",2020-09-03,16.2608695652174
"233","Greenville",2020-09-04,14
"234","Greenville",2020-09-05,6.86363636363636
"235","Greenville",2020-09-06,4
"236","Greenville",2020-09-07,4.94736842105263
"237","Greenville",2020-09-08,4.43478260869565
"238","Greenville",2020-09-09,2.45454545454545
"239","Greenville",2020-09-10,3.05
"240","Greenville",2020-09-11,4.47368421052632
"241","Greenville",2020-09-12,5.26086956521739
"242","Greenville",2020-09-13,6
"243","Greenville",2020-09-14,4.36842105263158
"244","Greenville",2020-09-15,6.52380952380952
"245","Greenville",2020-09-16,4.71428571428571
"246","Greenville",2020-09-17,2.47619047619048
"247","Greenville",2020-09-18,2.09090909090909
"248","Greenville",2020-09-19,7.6
"249","Greenville",2020-09-20,2.65217391304348
"250","Greenville",2020-09-21,3.30434782608696
"251","Greenville",2020-09-22,3
"252","Greenville",2020-09-23,4.81818181818182
"253","Greenville",2020-09-24,9.5
"254","Greenville",2020-09-25,11.1578947368421
"255","Greenville",2020-09-26,4.04166666666667
"256","Greenville",2020-09-27,3.63636363636364
"257","Greenville",2020-09-28,5.91304347826087
"258","Greenville",2020-09-29,5.57894736842105
"259","Greenville",2020-09-30,2.71428571428571
"260","Greenville",2020-10-01,5.17391304347826
"261","Greenville",2020-10-02,6.36363636363636
"262","Greenville",2020-10-03,4.73913043478261
"263","Greenville",2020-10-04,3.82608695652174
"264","Greenville",2020-10-05,6.33333333333333
"265","Greenville",2020-10-06,5.75
"266","Greenville",2020-10-07,9.52173913043478
"267","Greenville",2020-10-08,11.8333333333333
"268","Greenville",2020-10-09,5.76190476190476
"269","Greenville",2020-10-10,6.45833333333333
"270","Greenville",2020-10-11,4.63157894736842
"271","Greenville",2020-10-12,7.63636363636364
"272","Greenville",2020-10-13,4.52173913043478
"273","Greenville",2020-10-14,4.22727272727273
"274","Greenville",2020-10-15,5.61111111111111
"275","Greenville",2020-10-16,4.9
"276","Greenville",2020-10-17,3.125
"277","Greenville",2020-10-18,3.78260869565217
"278","Greenville",2020-10-19,2.8
